<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
H1N,Lyxor EM Mkt US$,D,20091021,9.7100,9.7100,9.7100,9.7100,1300,0
H1N,Lyxor EM Mkt US$,D,20091022,9.6400,9.6400,9.6400,9.6400,1000,0
H1N,Lyxor EM Mkt US$,D,20091023,9.6400,9.6400,9.6400,9.6400,0,0
H1N,Lyxor EM Mkt US$,D,20091026,9.6400,9.6400,9.6400,9.6400,0,0
H1N,Lyxor EM Mkt US$,D,20091027,9.6200,9.6200,9.6200,9.6200,200,0
H1N,Lyxor EM Mkt US$,D,20091028,9.6200,9.6200,9.6200,9.6200,0,0
H1N,Lyxor EM Mkt US$,D,20091029,9.6200,9.6200,9.6200,9.6200,0,0
H1N,Lyxor EM Mkt US$,D,20091030,9.3500,9.3500,9.3200,9.3200,1100,0
H1N,Lyxor EM Mkt US$,D,20091102,9.0900,9.0900,9.0900,9.0900,120,0
H1N,Lyxor EM Mkt US$,D,20091103,9.0900,9.0900,9.0900,9.0900,0,0
H1N,Lyxor EM Mkt US$,D,20091104,9.1700,9.1700,9.1700,9.1700,1000,0
H1N,Lyxor EM Mkt US$,D,20091105,9.1700,9.1700,9.1700,9.1700,0,0
H1N,Lyxor EM Mkt US$,D,20091106,9.4000,9.4400,9.4000,9.4400,1060,0
H1N,Lyxor EM Mkt US$,D,20091109,9.4400,9.4400,9.4400,9.4400,0,0
H1N,Lyxor EM Mkt US$,D,20091110,9.4400,9.4400,9.4400,9.4400,0,0
H1N,Lyxor EM Mkt US$,D,20091111,9.7000,9.7000,9.7000,9.7000,150,0
H1N,Lyxor EM Mkt US$,D,20091112,9.7000,9.7000,9.7000,9.7000,0,0
H1N,Lyxor EM Mkt US$,D,20091113,9.7000,9.7000,9.7000,9.7000,0,0
H1N,Lyxor EM Mkt US$,D,20091116,9.7600,9.7600,9.7600,9.7600,2200,0
H1N,Lyxor EM Mkt US$,D,20091117,9.7600,9.7600,9.7600,9.7600,0,0
H1N,Lyxor EM Mkt US$,D,20091118,9.7600,9.7600,9.7600,9.7600,0,0
H1N,Lyxor EM Mkt US$,D,20091119,9.7600,9.7600,9.7600,9.7600,0,0
H1N,Lyxor EM Mkt US$,D,20091120,9.7600,9.7600,9.7600,9.7600,0,0
H1N,Lyxor EM Mkt US$,D,20091123,9.7300,9.7300,9.7300,9.7300,220,0
H1N,Lyxor EM Mkt US$,D,20091124,9.7300,9.7300,9.7300,9.7300,0,0
H1N,Lyxor EM Mkt US$,D,20091125,9.7300,9.7300,9.7300,9.7300,0,0
H1N,Lyxor EM Mkt US$,D,20091126,9.7300,9.7300,9.7300,9.7300,0,0
H1N,Lyxor EM Mkt US$,D,20091130,9.6200,9.6200,9.6200,9.6200,1500,0
H1N,Lyxor EM Mkt US$,D,20091201,9.5800,9.5800,9.5800,9.5800,200,0
H1N,Lyxor EM Mkt US$,D,20091202,9.5800,9.5800,9.5800,9.5800,0,0
H1N,Lyxor EM Mkt US$,D,20091203,9.5800,9.5800,9.5800,9.5800,0,0
H1N,Lyxor EM Mkt US$,D,20091204,9.5800,9.5800,9.5800,9.5800,0,0
H1N,Lyxor EM Mkt US$,D,20091207,9.5800,9.5800,9.5800,9.5800,0,0
H1N,Lyxor EM Mkt US$,D,20091208,9.5800,9.5800,9.5800,9.5800,0,0
H1N,Lyxor EM Mkt US$,D,20091209,9.5800,9.5800,9.5800,9.5800,0,0
H1N,Lyxor EM Mkt US$,D,20091210,9.5800,9.5800,9.5800,9.5800,0,0
H1N,Lyxor EM Mkt US$,D,20091211,9.6500,9.6500,9.6500,9.6500,300,0
H1N,Lyxor EM Mkt US$,D,20091214,9.6500,9.6500,9.6500,9.6500,0,0
H1N,Lyxor EM Mkt US$,D,20091215,9.8600,9.8600,9.8600,9.8600,160,0
H1N,Lyxor EM Mkt US$,D,20091216,9.7500,9.7500,9.7500,9.7500,70,0
H1N,Lyxor EM Mkt US$,D,20091217,9.7500,9.7500,9.7400,9.7400,200,0
H1N,Lyxor EM Mkt US$,D,20091218,9.6000,9.6000,9.5700,9.5700,140,0
H1N,Lyxor EM Mkt US$,D,20091221,9.5700,9.5700,9.5700,9.5700,0,0
H1N,Lyxor EM Mkt US$,D,20091222,9.5700,9.5700,9.5700,9.5700,0,0
H1N,Lyxor EM Mkt US$,D,20091223,9.6700,9.6700,9.6700,9.6700,360,0
H1N,Lyxor EM Mkt US$,D,20091224,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20091228,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20091229,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20091230,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20091231,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20100104,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20100105,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20100106,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20100107,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20100108,9.6700,9.6700,9.6700,9.6700,0,0
H1N,Lyxor EM Mkt US$,D,20100111,10.3300,10.3300,10.3300,10.3300,1000,0
H1N,Lyxor EM Mkt US$,D,20100112,10.3100,10.3100,10.3000,10.3000,1110,0
H1N,Lyxor EM Mkt US$,D,20100113,10.2300,10.2300,10.1400,10.1400,340,0
H1N,Lyxor EM Mkt US$,D,20100114,10.1400,10.1400,10.1400,10.1400,0,0
H1N,Lyxor EM Mkt US$,D,20100115,10.1400,10.1400,10.1400,10.1400,0,0
H1N,Lyxor EM Mkt US$,D,20100118,10.1400,10.1400,10.1400,10.1400,0,0
H1N,Lyxor EM Mkt US$,D,20100119,10.1400,10.1400,10.1400,10.1400,0,0
H1N,Lyxor EM Mkt US$,D,20100120,10.1400,10.1400,10.1400,10.1400,0,0
H1N,Lyxor EM Mkt US$,D,20100121,10.0100,10.0100,9.9700,9.9700,200,0
