<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
G3B,Nikko AM STI ETF,D,20110808,2.9700,3.0000,2.8900,2.9400,281000,0
G3B,Nikko AM STI ETF,D,20110810,2.9200,2.9900,2.8900,2.9100,1622400,0
G3B,Nikko AM STI ETF,D,20110811,2.8800,2.8800,2.7800,2.8400,146900,0
G3B,Nikko AM STI ETF,D,20110812,2.9000,2.9400,2.8700,2.9000,1283700,0
G3B,Nikko AM STI ETF,D,20110815,2.9200,2.9300,2.9200,2.9300,22200,0
G3B,Nikko AM STI ETF,D,20110816,2.9400,2.9500,2.8900,2.8900,318600,0
G3B,Nikko AM STI ETF,D,20110817,3.0100,3.0100,2.8900,2.8900,2445100,0
G3B,Nikko AM STI ETF,D,20110818,2.9400,2.9400,2.8900,2.8900,67100,0
G3B,Nikko AM STI ETF,D,20110819,2.8500,2.8500,2.8100,2.8100,48900,0
G3B,Nikko AM STI ETF,D,20110822,2.8100,2.8200,2.7600,2.7700,1280200,0
G3B,Nikko AM STI ETF,D,20110823,2.8000,2.8200,2.7900,2.8200,7800,0
G3B,Nikko AM STI ETF,D,20110824,2.8800,2.9900,2.8000,2.8100,25500,0
G3B,Nikko AM STI ETF,D,20110825,2.8300,2.8400,2.8200,2.8400,529800,0
G3B,Nikko AM STI ETF,D,20110826,2.8700,2.9200,2.8200,2.8300,2551700,0
G3B,Nikko AM STI ETF,D,20110829,2.8400,2.8600,2.8400,2.8500,76000,0
G3B,Nikko AM STI ETF,D,20110831,2.8500,2.9400,2.8500,2.9400,1126600,0
G3B,Nikko AM STI ETF,D,20110901,2.9300,2.9600,2.9100,2.9100,406800,0
G3B,Nikko AM STI ETF,D,20110902,2.9200,2.9200,2.8900,2.8900,38600,0
G3B,Nikko AM STI ETF,D,20110905,2.8500,2.8500,2.8100,2.8300,158900,0
G3B,Nikko AM STI ETF,D,20110906,2.8300,2.8300,2.7800,2.8000,16400,0
G3B,Nikko AM STI ETF,D,20110907,2.8700,2.9000,2.8600,2.8800,89300,0
G3B,Nikko AM STI ETF,D,20110908,2.8800,2.8800,2.8800,2.8800,0,0
G3B,Nikko AM STI ETF,D,20110909,2.8900,2.9100,2.8900,2.9000,209400,0
G3B,Nikko AM STI ETF,D,20110912,2.8500,2.8900,2.8000,2.8100,49700,0
G3B,Nikko AM STI ETF,D,20110913,2.9100,2.9100,2.8000,2.8000,3020700,0
G3B,Nikko AM STI ETF,D,20110914,2.8500,2.9500,2.7700,2.8000,68000,0
G3B,Nikko AM STI ETF,D,20110915,2.8400,2.8400,2.8000,2.8100,74400,0
G3B,Nikko AM STI ETF,D,20110916,2.8600,2.8600,2.8500,2.8600,7300,0
G3B,Nikko AM STI ETF,D,20110919,2.8400,2.8400,2.8200,2.8200,5500,0
G3B,Nikko AM STI ETF,D,20110920,2.8000,2.8200,2.8000,2.8200,179600,0
G3B,Nikko AM STI ETF,D,20110921,2.8400,2.8400,2.8400,2.8400,2600,0
G3B,Nikko AM STI ETF,D,20110922,2.8000,2.8000,2.7900,2.7900,13800,0
G3B,Nikko AM STI ETF,D,20110923,2.7500,2.7500,2.7200,2.7500,620300,0
G3B,Nikko AM STI ETF,D,20110926,2.7100,2.7500,2.6900,2.7100,88400,0
G3B,Nikko AM STI ETF,D,20110927,2.7200,2.7800,2.7200,2.7800,31300,0
G3B,Nikko AM STI ETF,D,20110928,2.8000,2.8000,2.7500,2.7700,3900,0
G3B,Nikko AM STI ETF,D,20110929,2.7200,2.7400,2.7200,2.7400,252000,0
G3B,Nikko AM STI ETF,D,20110930,2.7400,2.7400,2.7100,2.7200,184300,0
G3B,Nikko AM STI ETF,D,20111003,2.7200,2.7200,2.6600,2.6700,170300,0
G3B,Nikko AM STI ETF,D,20111004,2.6600,2.6600,2.6000,2.6000,136300,0
G3B,Nikko AM STI ETF,D,20111005,2.6200,2.6200,2.5900,2.5900,70000,0
G3B,Nikko AM STI ETF,D,20111006,2.6400,2.6600,2.6400,2.6500,28500,0
G3B,Nikko AM STI ETF,D,20111007,2.6500,2.7000,2.6500,2.6900,29100,0
G3B,Nikko AM STI ETF,D,20111010,2.7100,2.7200,2.7100,2.7200,9700,0
G3B,Nikko AM STI ETF,D,20111011,2.7600,2.7900,2.7600,2.7600,58200,0
G3B,Nikko AM STI ETF,D,20111012,2.7400,2.7900,2.7300,2.7900,9100,0
G3B,Nikko AM STI ETF,D,20111013,2.7800,2.7900,2.7700,2.7700,75100,0
G3B,Nikko AM STI ETF,D,20111014,2.7700,2.7700,2.7600,2.7600,128500,0
G3B,Nikko AM STI ETF,D,20111017,2.7800,2.8100,2.7700,2.8000,973700,0
G3B,Nikko AM STI ETF,D,20111018,2.7800,2.7800,2.7600,2.7600,8600,0
G3B,Nikko AM STI ETF,D,20111019,2.7600,2.7600,2.7500,2.7500,1500,0
G3B,Nikko AM STI ETF,D,20111020,2.7400,2.7400,2.7200,2.7200,2300,0
G3B,Nikko AM STI ETF,D,20111021,2.7500,2.7500,2.7500,2.7500,2700,0
G3B,Nikko AM STI ETF,D,20111024,2.7700,2.7900,2.7700,2.7800,18200,0
G3B,Nikko AM STI ETF,D,20111025,2.7800,2.7900,2.7800,2.7900,251500,0
G3B,Nikko AM STI ETF,D,20111027,2.7900,2.9000,2.7900,2.9000,51800,0
G3B,Nikko AM STI ETF,D,20111028,2.9000,2.9200,2.9000,2.9200,245900,0
G3B,Nikko AM STI ETF,D,20111031,2.9100,2.9100,2.8700,2.8900,644100,0
G3B,Nikko AM STI ETF,D,20111101,2.8600,2.8600,2.5600,2.8200,22400,0
G3B,Nikko AM STI ETF,D,20111102,2.7900,2.8500,2.7700,2.8500,107900,0
G3B,Nikko AM STI ETF,D,20111103,2.8500,2.8500,2.8100,2.8100,34300,0
G3B,Nikko AM STI ETF,D,20111104,2.8800,2.8900,2.8800,2.8800,261300,0
G3B,Nikko AM STI ETF,D,20111108,2.8800,2.8800,2.8700,2.8800,9600,0
G3B,Nikko AM STI ETF,D,20111109,2.9000,2.9000,2.8800,2.8900,3800,0
G3B,Nikko AM STI ETF,D,20111110,2.7800,2.8100,2.7800,2.7900,29000,0
G3B,Nikko AM STI ETF,D,20111111,2.8200,2.8200,2.8100,2.8100,24700,0
G3B,Nikko AM STI ETF,D,20111114,2.8600,2.8600,2.8600,2.8600,6800,0
G3B,Nikko AM STI ETF,D,20111115,2.8600,2.8600,2.8600,2.8600,0,0
G3B,Nikko AM STI ETF,D,20111116,2.8700,2.8700,2.8000,2.8000,181300,0
G3B,Nikko AM STI ETF,D,20111117,2.8100,2.8200,2.8100,2.8200,11800,0
G3B,Nikko AM STI ETF,D,20111118,2.7700,2.7800,2.7700,2.7700,49000,0
G3B,Nikko AM STI ETF,D,20111121,2.7400,2.7400,2.7200,2.7300,18700,0
G3B,Nikko AM STI ETF,D,20111122,2.7200,2.7300,2.7200,2.7200,6300,0
G3B,Nikko AM STI ETF,D,20111123,2.7200,2.7200,2.7000,2.7100,14900,0
G3B,Nikko AM STI ETF,D,20111124,2.6800,2.7000,2.6800,2.7000,6200,0
G3B,Nikko AM STI ETF,D,20111125,2.6900,2.6900,2.6700,2.6700,35100,0
G3B,Nikko AM STI ETF,D,20111128,2.7000,2.7100,2.7000,2.7100,208800,0
G3B,Nikko AM STI ETF,D,20111129,2.7300,2.7400,2.7300,2.7300,324100,0
G3B,Nikko AM STI ETF,D,20111130,2.7200,2.7300,2.7000,2.7300,7000,0
G3B,Nikko AM STI ETF,D,20111201,2.8300,2.8300,2.7800,2.7800,434100,0
G3B,Nikko AM STI ETF,D,20111202,2.7800,2.7800,2.7800,2.7800,8400,0
G3B,Nikko AM STI ETF,D,20111205,2.7900,2.7900,2.7900,2.7900,100000,0
G3B,Nikko AM STI ETF,D,20111206,2.7700,2.7700,2.7700,2.7700,3400,0
G3B,Nikko AM STI ETF,D,20111207,2.7700,2.7700,2.7700,2.7700,0,0
G3B,Nikko AM STI ETF,D,20111208,2.8000,2.8000,2.7600,2.7600,8700,0
G3B,Nikko AM STI ETF,D,20111209,2.7600,2.7600,2.7200,2.7200,9700,0
G3B,Nikko AM STI ETF,D,20111212,2.7300,2.7300,2.7300,2.7300,3800,0
G3B,Nikko AM STI ETF,D,20111213,2.7200,2.7200,2.7200,2.7200,100,0
G3B,Nikko AM STI ETF,D,20111214,2.7400,2.7400,2.7000,2.7000,27200,0
