<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
P60,Lyxor Asia US$,D,20110815,4.3100,4.3500,4.3100,4.3500,50570,0
P60,Lyxor Asia US$,D,20110816,4.3900,4.3900,4.3400,4.3600,11500,0
P60,Lyxor Asia US$,D,20110817,4.4300,4.4300,4.4300,4.4300,5420,0
P60,Lyxor Asia US$,D,20110818,4.4300,4.4300,4.4300,4.4300,0,0
P60,Lyxor Asia US$,D,20110819,4.1700,4.1800,4.1400,4.1600,103760,0
P60,Lyxor Asia US$,D,20110822,4.0600,4.0800,4.0600,4.0800,8480,0
P60,Lyxor Asia US$,D,20110823,4.2000,4.2200,4.1700,4.2200,38280,0
P60,Lyxor Asia US$,D,20110824,4.2200,4.2300,4.2200,4.2300,10240,0
P60,Lyxor Asia US$,D,20110825,4.2400,4.2400,4.2000,4.2400,123170,0
P60,Lyxor Asia US$,D,20110826,4.2100,4.2300,4.2100,4.2300,159500,0
P60,Lyxor Asia US$,D,20110829,4.2900,4.2900,4.2500,4.2500,37800,0
P60,Lyxor Asia US$,D,20110831,4.4200,4.4200,4.4200,4.4200,38900,0
P60,Lyxor Asia US$,D,20110901,4.4700,4.4900,4.4700,4.4900,26880,0
P60,Lyxor Asia US$,D,20110902,4.4200,4.4200,4.4000,4.4000,15300,0
P60,Lyxor Asia US$,D,20110905,4.3200,4.3200,4.2800,4.2800,9660,0
P60,Lyxor Asia US$,D,20110906,4.1800,4.2400,4.1800,4.2400,42790,0
P60,Lyxor Asia US$,D,20110907,4.2700,4.3000,4.2700,4.3000,40540,0
P60,Lyxor Asia US$,D,20110908,4.3900,4.3900,4.3200,4.3200,24610,0
P60,Lyxor Asia US$,D,20110909,4.3200,4.3200,4.3200,4.3200,0,0
P60,Lyxor Asia US$,D,20110912,4.2000,4.2000,4.1000,4.1000,151700,0
P60,Lyxor Asia US$,D,20110913,4.1300,4.1300,4.1000,4.1000,4160,0
P60,Lyxor Asia US$,D,20110914,4.0500,4.0600,4.0500,4.0600,60000,0
P60,Lyxor Asia US$,D,20110915,4.0400,4.0400,4.0400,4.0400,2860,0
P60,Lyxor Asia US$,D,20110916,4.1700,4.1900,4.1700,4.1900,2000,0
P60,Lyxor Asia US$,D,20110919,4.1900,4.1900,4.1900,4.1900,127310,0
P60,Lyxor Asia US$,D,20110920,4.0700,4.0900,4.0100,4.0500,9990,0
P60,Lyxor Asia US$,D,20110921,4.0800,4.0800,4.0600,4.0600,2250,0
P60,Lyxor Asia US$,D,20110922,3.9500,3.9500,3.8400,3.8400,4560,0
P60,Lyxor Asia US$,D,20110923,3.7500,3.7500,3.7100,3.7400,14080,0
P60,Lyxor Asia US$,D,20110926,3.6200,3.6800,3.6000,3.6800,18750,0
P60,Lyxor Asia US$,D,20110927,3.8100,3.8300,3.8100,3.8300,6600,0
P60,Lyxor Asia US$,D,20110928,3.8400,3.8400,3.8400,3.8400,953030,0
P60,Lyxor Asia US$,D,20110929,3.8400,3.8400,3.8400,3.8400,0,0
P60,Lyxor Asia US$,D,20110930,3.8400,3.8400,3.8400,3.8400,0,0
P60,Lyxor Asia US$,D,20111003,3.6300,3.6600,3.6300,3.6500,227800,0
P60,Lyxor Asia US$,D,20111004,3.5800,3.5800,3.5500,3.5800,40920,0
P60,Lyxor Asia US$,D,20111005,3.5300,3.5800,3.5300,3.5800,13400,0
P60,Lyxor Asia US$,D,20111006,3.7000,3.7000,3.7000,3.7000,35000,0
P60,Lyxor Asia US$,D,20111007,3.8300,3.8800,3.8300,3.8500,61600,0
P60,Lyxor Asia US$,D,20111010,3.8500,3.8500,3.8500,3.8500,0,0
P60,Lyxor Asia US$,D,20111011,3.9800,3.9800,3.9500,3.9500,37160,0
P60,Lyxor Asia US$,D,20111012,3.9500,4.0100,3.9400,4.0100,63300,0
P60,Lyxor Asia US$,D,20111013,4.0100,4.0100,4.0100,4.0100,0,0
P60,Lyxor Asia US$,D,20111014,4.0000,4.0200,4.0000,4.0200,3440,0
P60,Lyxor Asia US$,D,20111017,4.1400,4.1400,4.1400,4.1400,450,0
P60,Lyxor Asia US$,D,20111018,4.0600,4.0600,3.9800,3.9800,1710,0
P60,Lyxor Asia US$,D,20111019,4.0400,4.0400,4.0400,4.0400,60000,0
P60,Lyxor Asia US$,D,20111020,5.5000,5.5000,4.0500,4.1200,107500,0
P60,Lyxor Asia US$,D,20111021,3.9800,3.9800,3.7500,3.9400,67030,0
P60,Lyxor Asia US$,D,20111024,4.0600,4.1100,4.0600,4.1100,107500,0
P60,Lyxor Asia US$,D,20111025,4.1100,4.1100,4.1100,4.1100,0,0
P60,Lyxor Asia US$,D,20111027,4.2000,4.3000,4.1600,4.3000,50860,0
P60,Lyxor Asia US$,D,20111028,4.4000,4.4000,4.3400,4.3600,22870,0
P60,Lyxor Asia US$,D,20111031,4.3600,4.3600,4.3600,4.3600,470,0
P60,Lyxor Asia US$,D,20111101,4.3600,4.3600,4.3600,4.3600,0,0
P60,Lyxor Asia US$,D,20111102,4.1500,4.2400,4.1500,4.2400,35500,0
P60,Lyxor Asia US$,D,20111103,4.1300,4.1400,4.0900,4.1000,75870,0
P60,Lyxor Asia US$,D,20111104,4.2800,4.2800,4.2800,4.2800,100,0
P60,Lyxor Asia US$,D,20111108,4.2800,4.2800,4.2800,4.2800,0,0
P60,Lyxor Asia US$,D,20111109,4.2800,4.2800,4.2800,4.2800,0,0
P60,Lyxor Asia US$,D,20111110,4.0900,4.1300,4.0800,4.1000,236000,0
P60,Lyxor Asia US$,D,20111111,4.0900,4.0900,4.0900,4.0900,1310,0
P60,Lyxor Asia US$,D,20111114,4.0900,4.0900,4.0900,4.0900,0,0
P60,Lyxor Asia US$,D,20111115,4.0900,4.0900,4.0900,4.0900,0,0
P60,Lyxor Asia US$,D,20111116,4.0900,4.0900,4.0900,4.0900,0,0
P60,Lyxor Asia US$,D,20111117,4.0900,4.0900,4.0900,4.0900,0,0
P60,Lyxor Asia US$,D,20111118,4.0000,4.0200,4.0000,4.0200,40000,0
P60,Lyxor Asia US$,D,20111121,3.9500,3.9500,3.9200,3.9200,120000,0
P60,Lyxor Asia US$,D,20111122,3.8900,3.9200,3.8000,3.8900,33740,0
P60,Lyxor Asia US$,D,20111123,3.8900,3.8900,3.8900,3.8900,0,0
P60,Lyxor Asia US$,D,20111124,3.7900,3.7900,3.7900,3.7900,2820,0
P60,Lyxor Asia US$,D,20111125,3.7900,3.7900,3.7900,3.7900,1000,0
P60,Lyxor Asia US$,D,20111128,3.7900,3.7900,3.7900,3.7900,0,0
P60,Lyxor Asia US$,D,20111129,3.7900,3.7900,3.7900,3.7900,0,0
P60,Lyxor Asia US$,D,20111130,3.9600,3.9600,3.9000,3.9100,65570,0
P60,Lyxor Asia US$,D,20111201,4.1500,4.1500,4.1100,4.1100,35500,0
P60,Lyxor Asia US$,D,20111202,4.2500,4.2500,4.1500,4.1500,20300,0
P60,Lyxor Asia US$,D,20111205,4.1500,4.1500,4.1500,4.1500,0,0
P60,Lyxor Asia US$,D,20111206,4.1500,4.1500,4.1500,4.1500,0,0
P60,Lyxor Asia US$,D,20111207,4.1500,4.1500,4.1500,4.1500,0,0
P60,Lyxor Asia US$,D,20111208,4.0400,4.0400,4.0400,4.0400,1000,0
P60,Lyxor Asia US$,D,20111209,4.0400,4.0400,4.0400,4.0400,0,0
P60,Lyxor Asia US$,D,20111212,4.0400,4.0400,4.0400,4.0400,0,0
P60,Lyxor Asia US$,D,20111213,3.8800,3.9100,3.8800,3.9000,20300,0
P60,Lyxor Asia US$,D,20111214,3.9000,3.9000,3.9000,3.9000,0,0
P60,Lyxor Asia US$,D,20111215,3.9000,3.9000,3.9000,3.9000,0,0
P60,Lyxor Asia US$,D,20111216,3.9000,3.9000,3.9000,3.9000,0,0
P60,Lyxor Asia US$,D,20111219,3.9000,3.9000,3.9000,3.9000,0,0
P60,Lyxor Asia US$,D,20111220,3.9000,3.9000,3.9000,3.9000,0,0
P60,Lyxor Asia US$,D,20111221,3.9100,3.9100,3.9100,3.9100,135000,0
P60,Lyxor Asia US$,D,20111222,3.9100,3.9100,3.9100,3.9100,0,0
P60,Lyxor Asia US$,D,20111223,3.9400,3.9400,3.9400,3.9400,300,0
P60,Lyxor Asia US$,D,20111227,3.9200,3.9200,3.9200,3.9200,1370,0
P60,Lyxor Asia US$,D,20111228,3.9200,3.9200,3.9200,3.9200,200,0
P60,Lyxor Asia US$,D,20111229,3.9200,3.9200,3.9200,3.9200,0,0
P60,Lyxor Asia US$,D,20111230,3.9200,3.9200,3.9200,3.9200,0,0
P60,Lyxor Asia US$,D,20120103,3.9600,3.9600,3.9600,3.9600,3000,0
P60,Lyxor Asia US$,D,20120104,3.9600,3.9600,3.9600,3.9600,0,0
P60,Lyxor Asia US$,D,20120105,3.9600,4.0100,3.9600,4.0100,1350,0
P60,Lyxor Asia US$,D,20120106,4.0100,4.0100,4.0100,4.0100,0,0
P60,Lyxor Asia US$,D,20120109,4.0100,4.0100,4.0100,4.0100,0,0
P60,Lyxor Asia US$,D,20120110,4.0100,4.0300,4.0100,4.0300,8400,0
P60,Lyxor Asia US$,D,20120111,4.0300,4.0700,4.0300,4.0700,8000,0
P60,Lyxor Asia US$,D,20120112,4.0500,4.0500,4.0500,4.0500,19320,0
P60,Lyxor Asia US$,D,20120113,4.0500,4.0500,4.0500,4.0500,0,0
P60,Lyxor Asia US$,D,20120116,4.0200,4.0200,4.0200,4.0200,800,0
P60,Lyxor Asia US$,D,20120117,4.0800,4.1200,4.0800,4.1200,3000,0
P60,Lyxor Asia US$,D,20120118,4.1200,4.1200,4.1200,4.1200,0,0
P60,Lyxor Asia US$,D,20120119,4.1300,4.1400,4.1300,4.1400,3300,0
P60,Lyxor Asia US$,D,20120120,4.2000,4.2000,4.2000,4.2000,2000,0
P60,Lyxor Asia US$,D,20120125,4.2800,4.2800,4.2800,4.2800,900,0
P60,Lyxor Asia US$,D,20120126,4.2800,4.2800,4.2800,4.2800,0,0
P60,Lyxor Asia US$,D,20120127,4.2800,4.2800,4.2800,4.2800,0,0
P60,Lyxor Asia US$,D,20120130,4.3000,4.3000,4.3000,4.3000,3100,0
P60,Lyxor Asia US$,D,20120131,4.3000,4.3000,4.3000,4.3000,0,0
P60,Lyxor Asia US$,D,20120201,4.3000,4.3000,4.3000,4.3000,0,0
P60,Lyxor Asia US$,D,20120202,4.3700,4.3700,4.3700,4.3700,35000,0
P60,Lyxor Asia US$,D,20120203,4.3700,4.3700,4.3700,4.3700,0,0
P60,Lyxor Asia US$,D,20120206,4.3700,4.3700,4.3700,4.3700,750,0
P60,Lyxor Asia US$,D,20120207,4.3900,4.4100,4.3500,4.3600,17400,0
P60,Lyxor Asia US$,D,20120208,4.4200,4.4200,4.4200,4.4200,17000,0
P60,Lyxor Asia US$,D,20120209,4.4000,4.4200,4.3800,4.4200,5640,0
P60,Lyxor Asia US$,D,20120210,4.4600,4.4600,4.4600,4.4600,3030,0
P60,Lyxor Asia US$,D,20120213,4.4300,4.4300,4.3700,4.3700,1420,0
P60,Lyxor Asia US$,D,20120214,4.3700,4.3700,4.3700,4.3700,0,0
P60,Lyxor Asia US$,D,20120215,4.4400,4.4700,4.4400,4.4700,3840,0
P60,Lyxor Asia US$,D,20120216,4.4700,4.4700,4.4700,4.4700,0,0
P60,Lyxor Asia US$,D,20120217,4.4600,4.4600,4.4600,4.4600,65050,0
P60,Lyxor Asia US$,D,20120220,4.4700,4.4700,4.4200,4.4500,95000,0
P60,Lyxor Asia US$,D,20120221,4.4500,4.4500,4.4500,4.4500,0,0
P60,Lyxor Asia US$,D,20120222,4.4900,4.5000,4.4900,4.5000,13300,0
P60,Lyxor Asia US$,D,20120223,4.4500,4.4500,4.4500,4.4500,10000,0
P60,Lyxor Asia US$,D,20120224,4.4500,4.4500,4.4500,4.4500,0,0
P60,Lyxor Asia US$,D,20120227,4.4200,4.4700,4.4000,4.4400,287400,0
P60,Lyxor Asia US$,D,20120228,4.4400,4.4400,4.4400,4.4400,20,0
P60,Lyxor Asia US$,D,20120229,4.4400,4.4400,4.4400,4.4400,0,0
P60,Lyxor Asia US$,D,20120301,4.4400,4.4400,4.4400,4.4400,0,0
P60,Lyxor Asia US$,D,20120302,4.4400,4.4400,4.4400,4.4400,0,0
P60,Lyxor Asia US$,D,20120305,4.4400,4.4400,4.4400,4.4400,0,0
P60,Lyxor Asia US$,D,20120306,4.3600,4.3600,4.3600,4.3600,20,0
P60,Lyxor Asia US$,D,20120307,4.3600,4.3600,4.3000,4.3000,2620,0
P60,Lyxor Asia US$,D,20120308,4.3600,4.3600,4.3600,4.3600,300,0
P60,Lyxor Asia US$,D,20120309,4.4100,4.4100,4.4100,4.4100,2070,0
P60,Lyxor Asia US$,D,20120312,4.4000,4.4200,4.4000,4.4200,498770,0
P60,Lyxor Asia US$,D,20120313,4.4300,4.4300,4.4200,4.4200,1500,0
P60,Lyxor Asia US$,D,20120314,4.5200,4.5300,4.4900,4.4900,1327100,0
P60,Lyxor Asia US$,D,20120315,4.4300,4.4900,4.4300,4.4900,213010,0
P60,Lyxor Asia US$,D,20120316,4.4400,4.4400,4.4400,4.4400,9010,0
P60,Lyxor Asia US$,D,20120319,4.4400,4.4400,4.4400,4.4400,0,0
P60,Lyxor Asia US$,D,20120320,4.4400,4.4400,4.4400,4.4400,1370,0
P60,Lyxor Asia US$,D,20120321,4.4400,4.4400,4.4400,4.4400,0,0
P60,Lyxor Asia US$,D,20120322,4.3800,4.3900,4.3700,4.3900,10950,0
P60,Lyxor Asia US$,D,20120323,4.3900,4.3900,4.3900,4.3900,0,0
P60,Lyxor Asia US$,D,20120326,4.4000,4.4000,4.3600,4.3600,13160,0
P60,Lyxor Asia US$,D,20120327,4.4200,4.4200,4.4200,4.4200,100,0
P60,Lyxor Asia US$,D,20120328,4.4500,4.4500,4.4000,4.4000,5070,0
P60,Lyxor Asia US$,D,20120329,4.3900,4.3900,4.3900,4.3900,720,0
P60,Lyxor Asia US$,D,20120330,4.4200,4.4200,4.4200,4.4200,8900,0
P60,Lyxor Asia US$,D,20120402,4.4200,4.4200,4.4200,4.4200,5800,0
P60,Lyxor Asia US$,D,20120403,4.4200,4.4300,4.4100,4.4200,181220,0
P60,Lyxor Asia US$,D,20120404,4.4200,4.4200,4.4200,4.4200,0,0
P60,Lyxor Asia US$,D,20120405,4.4200,4.4200,4.4200,4.4200,0,0
P60,Lyxor Asia US$,D,20120409,4.4200,4.4200,4.4200,4.4200,10,0
P60,Lyxor Asia US$,D,20120410,4.3200,4.3200,4.3200,4.3200,1240,0
P60,Lyxor Asia US$,D,20120411,4.3100,4.3300,4.3100,4.3300,3030,0
P60,Lyxor Asia US$,D,20120412,4.3300,4.3300,4.3300,4.3300,0,0
P60,Lyxor Asia US$,D,20120413,4.3300,4.3300,4.3300,4.3300,0,0
P60,Lyxor Asia US$,D,20120416,4.3400,4.3400,4.3400,4.3400,4710,0
P60,Lyxor Asia US$,D,20120417,4.3200,4.3200,4.3200,4.3200,3300,0
P60,Lyxor Asia US$,D,20120418,4.3200,4.3200,4.3200,4.3200,0,0
P60,Lyxor Asia US$,D,20120419,4.3200,4.3200,4.3200,4.3200,0,0
P60,Lyxor Asia US$,D,20120420,4.3200,4.3200,4.3200,4.3200,0,0
P60,Lyxor Asia US$,D,20120423,4.3500,4.3500,4.3500,4.3500,400,0
P60,Lyxor Asia US$,D,20120424,4.3700,4.3700,4.3400,4.3500,560700,0
P60,Lyxor Asia US$,D,20120425,4.3500,4.3500,4.3500,4.3500,0,0
P60,Lyxor Asia US$,D,20120426,4.3500,4.3500,4.3500,4.3500,0,0
P60,Lyxor Asia US$,D,20120427,4.3800,4.3800,4.3800,4.3800,400,0
P60,Lyxor Asia US$,D,20120430,4.3800,4.3800,4.3800,4.3800,0,0
P60,Lyxor Asia US$,D,20120502,4.3800,4.3800,4.3800,4.3800,0,0
P60,Lyxor Asia US$,D,20120503,4.4100,4.4100,4.4100,4.4100,47140,0
P60,Lyxor Asia US$,D,20120504,4.4100,4.4100,4.4100,4.4100,0,0
P60,Lyxor Asia US$,D,20120507,4.3000,4.3000,4.3000,4.3000,1760,0
P60,Lyxor Asia US$,D,20120508,4.3000,4.3000,4.3000,4.3000,0,0
P60,Lyxor Asia US$,D,20120509,4.0900,4.2800,4.0900,4.2800,38400,0
P60,Lyxor Asia US$,D,20120510,4.2000,4.2000,4.2000,4.2000,1280,0
P60,Lyxor Asia US$,D,20120511,4.2000,4.2000,4.2000,4.2000,0,0
P60,Lyxor Asia US$,D,20120514,4.2000,4.2000,4.2000,4.2000,0,0
P60,Lyxor Asia US$,D,20120515,4.1300,4.1300,4.1300,4.1300,170,0
P60,Lyxor Asia US$,D,20120516,4.1300,4.1300,4.1300,4.1300,0,0
P60,Lyxor Asia US$,D,20120517,4.1300,4.1300,4.1300,4.1300,0,0
P60,Lyxor Asia US$,D,20120518,4.1300,4.1300,4.1300,4.1300,0,0
P60,Lyxor Asia US$,D,20120521,3.9300,3.9600,3.9300,3.9600,8050,0
P60,Lyxor Asia US$,D,20120522,3.9900,4.0900,3.9900,4.0600,161830,0
P60,Lyxor Asia US$,D,20120523,4.0000,4.0200,3.9500,3.9900,126110,0
P60,Lyxor Asia US$,D,20120524,3.9800,4.0500,3.9600,4.0100,100030,0
P60,Lyxor Asia US$,D,20120525,3.9500,4.0100,3.9500,4.0100,110640,0
P60,Lyxor Asia US$,D,20120528,4.0100,4.0100,4.0100,4.0100,0,0
P60,Lyxor Asia US$,D,20120529,4.0100,4.0100,4.0100,4.0100,0,0
P60,Lyxor Asia US$,D,20120530,3.9900,3.9900,3.9900,3.9900,400,0
P60,Lyxor Asia US$,D,20120531,3.9900,3.9900,3.9900,3.9900,0,0
P60,Lyxor Asia US$,D,20120601,4.0000,4.0000,4.0000,4.0000,600,0
P60,Lyxor Asia US$,D,20120604,3.8800,3.8800,3.8800,3.8800,800,0
P60,Lyxor Asia US$,D,20120605,3.8700,3.8700,3.8700,3.8700,13890,0
P60,Lyxor Asia US$,D,20120606,3.8700,3.8700,3.8700,3.8700,0,0
P60,Lyxor Asia US$,D,20120607,3.9400,3.9400,3.9400,3.9400,900,0
P60,Lyxor Asia US$,D,20120608,3.9900,3.9900,3.9900,3.9900,1500,0
P60,Lyxor Asia US$,D,20120611,3.9900,3.9900,3.9900,3.9900,0,0
